R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge_01,A_IDTOTS_CA,A_CLAU_UNICA_CA,A_ID_CA,A_EXPEDIENT_CA,A_EMPRESA_CA,A_REF_ODOO_CA,A_FECHA_ALTA_ODOO_CA,A_NUMERO_CA,A_FECHA_EMISION_CA,A_PROVEEDOR_CA,A_ORIGEN_CA,A_IMPORTE_CA,A_ACUMULADO_CA,A_ESTADO_CA,_merge
222,2,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ROCALLA SA,2025-10-17,535298,5,2025/00005,1345.52,2632.96,2025-12-30,535298,6431-C-C/00002,both,216,6431-C-C/00002,2,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00002,2025-10-17,5,2025-10-17,ROCALLA SA,C-C/00002,1345.52,2632.96,Hecho,both
223,3,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ALUBIX SL,2025-10-22,537124,2,2025/00006,3165.36,5798.32,2025-12-30,537124,6431-C-C/00003,both,217,6431-C-C/00003,3,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00003,2025-10-22,2,2025-10-22,ALUBIX SL,C-C/00003,3165.36,5798.32,Hecho,both
224,4,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ROCALLA SA,2025-10-22,537125,9,2025/00008,4019.62,9817.94,2025-12-30,537125,6431-C-C/00004,both,218,6431-C-C/00004,4,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00004,2025-10-22,9,2025-10-22,ROCALLA SA,C-C/00004,4019.62,9817.94,Hecho,both
225,5,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ALUBIX SL,2025-10-29,540066,4,2025/00009,3472.7,13290.64,2025-12-30,540066,6431-C-C/00005,both,219,6431-C-C/00005,5,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00005,2025-10-29,4,2025-10-29,ALUBIX SL,C-C/00005,3472.7,13290.64,Hecho,both
226,6,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ROCALLA SA,2025-10-29,540076,11,2025/00010,3726.8,17017.44,2025-12-30,540076,6431-C-C/00006,both,220,6431-C-C/00006,6,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00006,2025-10-29,11,2025-10-29,ROCALLA SA,C-C/00006,3726.8,17017.44,Hecho,both
227,7,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-11-05,542287,9,2025/00012,3661.46,20678.9,2025-12-30,542287,6431-C-C/00007,both,221,6431-C-C/00007,7,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00007,2025-11-05,9,2025-11-05,ALUBIX SL,C-C/00007,3661.46,20678.9,Hecho,both
228,8,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-11-05,542291,14,2025/00014,4048.66,24727.56,2025-12-30,542291,6431-C-C/00008,both,222,6431-C-C/00008,8,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00008,2025-11-05,14,2025-11-05,ROCALLA SA,C-C/00008,4048.66,24727.56,Hecho,both
229,9,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-11-12,545024,11,2025/00015,3552.56,28280.12,2025-12-30,545024,6431-C-C/00009,both,223,6431-C-C/00009,9,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00009,2025-11-12,11,2025-11-12,ALUBIX SL,C-C/00009,3552.56,28280.12,Hecho,both
230,10,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-11-12,545028,16,2025/00019,4135.78,32415.9,2025-12-30,545028,6431-C-C/00010,both,224,6431-C-C/00010,10,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00010,2025-11-12,16,2025-11-12,ROCALLA SA,C-C/00010,4135.78,32415.9,Hecho,both
231,11,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-11-19,547870,14,2025/00018,4034.14,36450.04,2025-12-30,547870,6431-C-C/00011,both,225,6431-C-C/00011,11,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00011,2025-11-19,14,2025-11-19,ALUBIX SL,C-C/00011,4034.14,36450.04,Hecho,both
232,12,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-11-19,547872,19,2025/00021,4075.28,40525.32,2025-12-30,547872,6431-C-C/00012,both,226,6431-C-C/00012,12,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00012,2025-11-19,19,2025-11-19,ROCALLA SA,C-C/00012,4075.28,40525.32,Hecho,both
233,13,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-11-26,551231,18,2025/00021,3467.86,43993.18,2025-12-30,551231,6431-C-C/00013,both,227,6431-C-C/00013,13,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00013,2025-11-26,18,2025-11-26,ALUBIX SL,C-C/00013,3467.86,43993.18,Hecho,both
234,14,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-11-26,551234,23,2025/00025,4285.82,48279.0,2025-12-30,551234,6431-C-C/00014,both,228,6431-C-C/00014,14,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00014,2025-11-26,23,2025-11-26,ROCALLA SA,C-C/00014,4285.82,48279.0,Hecho,both
235,15,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-12-03,554328,19,2025/00026,4164.82,52443.82,2025-12-30,554328,6431-C-C/00015,both,229,6431-C-C/00015,15,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00015,2025-12-03,19,2025-12-03,ALUBIX SL,C-C/00015,4164.82,52443.82,Hecho,both
236,16,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-12-03,554329,25,2025/00029,4456.43,56900.25,2025-12-30,554329,6431-C-C/00016,both,230,6431-C-C/00016,16,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00016,2025-12-03,25,2025-12-03,ROCALLA SA,C-C/00016,4456.43,56900.25,Hecho,both
237,17,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-12-10,556835,23,2025/00031,3930.08,60830.33,2025-12-30,556835,6431-C-C/00017,both,231,6431-C-C/00017,17,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00017,2025-12-10,23,2025-12-10,ALUBIX SL,C-C/00017,3930.08,60830.33,Hecho,both
238,18,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-12-10,556837,29,2025/00031,4622.2,65452.53,2025-12-30,556837,6431-C-C/00018,both,232,6431-C-C/00018,18,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00018,2025-12-10,29,2025-12-10,ROCALLA SA,C-C/00018,4622.2,65452.53,Hecho,both
239,19,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ALUBIX,2025-12-17,560955,30,2025/00029,3872.0,69324.53,2025-12-30,560955,6352-C-C/00019,both,81,6352-C-C/00019,19,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00021,2025-12-17,30,2025-12-17,ALUBIX SL,C-C/00019,3872.0,70139.49,Hecho,both
240,20,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ROCALLA,2025-12-17,560956,32,2025/00031,3191.98,72516.51,2025-12-30,560956,6352-C-C/00021,both,82,6352-C-C/00021,20,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00023,2025-12-19,32,2025-12-17,ROCALLA SA,C-C/00021,3191.98,73331.47,Hecho,both
241,21,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX,2025-12-28,561694,35,2025/00034,158.51,72675.02,2025-12-30,561694,6352-C-C/00022,both,83,6352-C-C/00022,21,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00024,2025-12-28,35,2025-12-28,ALUBIX SL,C-C/00022,158.51,73489.98,Hecho,both
242,22,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA,2025-12-28,561695,35,2025/00034,158.51,72833.53,2025-12-30,561695,6352-C-C/00023,both,84,6352-C-C/00023,22,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00025,2025-12-28,35,2025-12-28,ROCALLA SA,C-C/00023,158.51,73648.49,Hecho,both
243,1,6467,ADG32 6467 WCHANTAH SL,Pagada,ALUBIX SL,2025-10-17,535293,2,2025/00003,1436.86,1436.86,,,,left_only,,,,,,,,,,,,,,,left_only
244,2,6467,ADG32 6467 WCHANTAH SL,Pagada,ROCALLA SA,2025-10-17,535314,5,2025/00004,1608.09,3044.95,,,,left_only,,,,,,,,,,,,,,,left_only
245,3,6467,ADG32 6467 WCHANTAH SL,Pagada,ALUBIX SL,2025-10-23,537791,5,2025/00004,3718.43,6763.38,,,,left_only,,,,,,,,,,,,,,,left_only
246,4,6467,ADG32 6467 WCHANTAH SL,Pagada,ROCALLA SA,2025-10-23,537793,6,2025/00009,3981.51,10744.89,,,,left_only,,,,,,,,,,,,,,,left_only
247,5,6467,ADG32 6467 WCHANTAH SL,Pagada,ALUBIX SL,2025-10-29,540145,10,2025/00005,4128.91,14873.8,,,,left_only,,,,,,,,,,,,,,,left_only
248,6,6467,ADG32 6467 WCHANTAH SL,Pagada,ROCALLA SA,2025-10-29,540147,11,2025/00013,3860.51,18734.31,,,,left_only,,,,,,,,,,,,,,,left_only
249,7,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-11-05,542353,11,2025/00008,3632.11,22366.42,,,,left_only,,,,,,,,,,,,,,,left_only
250,8,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-11-05,542356,15,2025/00014,4164.82,26531.24,,,,left_only,,,,,,,,,,,,,,,left_only
251,9,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-11-14,546162,14,2025/00009,3949.66,30480.9,,,,left_only,,,,,,,,,,,,,,,left_only
252,10,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-11-14,546163,16,2025/00015,4140.62,34621.52,,,,left_only,,,,,,,,,,,,,,,left_only
253,11,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-11-20,548783,18,2025/00013,4031.84,38653.36,,,,left_only,,,,,,,,,,,,,,,left_only
254,12,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-11-20,548784,17,2025/00019,4464.3,43117.66,,,,left_only,,,,,,,,,,,,,,,left_only
255,13,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-11-26,551291,19,2025/00017,3795.71,46913.37,,,,left_only,,,,,,,,,,,,,,,left_only
256,14,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-11-26,551292,19,2025/00021,4034.75,50948.12,,,,left_only,,,,,,,,,,,,,,,left_only
257,15,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-12-03,554389,22,2025/00020,3847.69,54795.81,,,,left_only,,,,,,,,,,,,,,,left_only
258,16,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-12-03,554390,24,2025/00026,3924.64,58720.45,,,,left_only,,,,,,,,,,,,,,,left_only
259,17,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-12-10,556950,26,2025/00021,4215.23,62935.68,,,,left_only,,,,,,,,,,,,,,,left_only
260,18,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-12-10,556951,27,2025/00030,4035.35,66971.03,,,,left_only,,,,,,,,,,,,,,,left_only
261,19,6467,ADG32 6467 WCHANTAH SL,Pagada,ALUBIX,2025-12-18,561168,30,2025/00024,4187.93,71158.96,,,,left_only,,,,,,,,,,,,,,,left_only
262,20,6467,ADG32 6467 WCHANTAH SL,Pagada,ROCALLA,2025-12-18,561170,29,2025/00032,4133.36,75292.32,,,,left_only,,,,,,,,,,,,,,,left_only
263,1,6478,ADG32 6478 CBAUZA SL,Pagada,ALUBIX SL,2025-10-17,535288,3,2025/00005,1218.47,1218.47,,,,left_only,,,,,,,,,,,,,,,left_only
264,2,6478,ADG32 6478 CBAUZA SL,Pagada,ROCALLA SA,2025-10-17,535307,2,2025/00001,1057.54,2276.01,,,,left_only,,,,,,,,,,,,,,,left_only
265,3,6478,ADG32 6478 CBAUZA SL,Pagada,ALUBIX SL,2025-10-23,537784,6,2025/00006,4187.81,6463.82,,,,left_only,,,,,,,,,,,,,,,left_only
266,4,6478,ADG32 6478 CBAUZA SL,Pagada,ROCALLA SA,2025-10-23,537786,6,2025/00004,3552.56,10016.38,,,,left_only,,,,,,,,,,,,,,,left_only
267,5,6478,ADG32 6478 CBAUZA SL,Pagada,ALUBIX SL,2025-10-29,540119,8,2025/00008,4545.97,14562.35,,,,left_only,,,,,,,,,,,,,,,left_only
268,6,6478,ADG32 6478 CBAUZA SL,Pagada,ROCALLA SA,2025-10-29,540120,9,2025/00008,3753.42,18315.77,,,,left_only,,,,,,,,,,,,,,,left_only
269,7,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-11-05,542321,11,2025/00009,4195.07,22510.84,,,,left_only,,,,,,,,,,,,,,,left_only
270,8,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-11-05,542325,11,2025/00010,3349.28,25860.12,,,,left_only,,,,,,,,,,,,,,,left_only
271,9,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-11-12,544973,14,2025/00014,4435.86,30295.98,,,,left_only,,,,,,,,,,,,,,,left_only
272,10,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-11-12,544976,13,2025/00014,3528.36,33824.34,,,,left_only,,,,,,,,,,,,,,,left_only
273,11,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-11-20,548735,18,2025/00017,3759.47,37583.81,,,,left_only,,,,,,,,,,,,,,,left_only
274,12,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-11-20,548736,17,2025/00019,3281.52,40865.33,,,,left_only,,,,,,,,,,,,,,,left_only
275,13,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-11-26,551216,20,2025/00021,4481.84,45347.17,,,,left_only,,,,,,,,,,,,,,,left_only
276,14,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-11-26,551220,19,2025/00023,3782.46,49129.63,,,,left_only,,,,,,,,,,,,,,,left_only
277,15,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-12-03,554347,23,2025/00022,4146.67,53276.3,,,,left_only,,,,,,,,,,,,,,,left_only
278,16,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-12-03,554350,23,2025/00026,3533.2,56809.5,,,,left_only,,,,,,,,,,,,,,,left_only
279,17,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-12-10,556850,26,2025/00026,5097.73,61907.23,,,,left_only,,,,,,,,,,,,,,,left_only
280,18,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-12-10,556858,26,2025/00031,3617.9,65525.13,,,,left_only,,,,,,,,,,,,,,,left_only
281,19,6478,ADG32 6478 CBAUZA SL,Pagada,ALUBIX,2025-12-18,561176,31,2025/00030,4143.04,69668.17,,,,left_only,,,,,,,,,,,,,,,left_only
282,20,6478,ADG32 6478 CBAUZA SL,Pagada,ROCALLA,2025-12-18,561177,31,2025/00033,3675.98,73344.15,,,,left_only,,,,,,,,,,,,,,,left_only
283,1,6702,ADG32 6702 NFORNES SL,Pagada,ALUBIX SL,2025-10-17,535287,3,2025/00004,1280.18,1280.18,2025-12-19,535287,6702-C-C/00002,both,238,6702-C-C/00002,2,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00002,2025-10-17,3,2025-10-17,ALUBIX SL,C-C/00002,1280.18,2158.64,Hecho,both
284,2,6702,ADG32 6702 NFORNES SL,Pagada,ROCALLA SA,2025-10-17,535310,2,2025/00004,878.46,2158.64,2025-12-19,535310,6702-C-C/00001,both,237,6702-C-C/00001,1,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00001,2025-10-17,2,2025-10-17,ROCALLA SA,C-C/00001,878.46,878.46,Hecho,both
285,3,6702,ADG32 6702 NFORNES SL,Pagada,ALUBIX SL,2025-10-22,537161,8,2025/00008,4735.94,6894.58,2025-12-19,537161,6702-C-C/00003,both,239,6702-C-C/00003,3,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00003,2025-10-22,8,2025-10-22,ALUBIX SL,C-C/00003,4735.94,6894.58,Hecho,both
286,4,6702,ADG32 6702 NFORNES SL,Pagada,ROCALLA SA,2025-10-22,537418,7,2025/00008,3204.08,10098.66,2025-12-19,537418,6702-C-C/00004,both,240,6702-C-C/00004,4,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00004,2025-10-22,7,2025-10-22,ROCALLA SA,C-C/00004,3204.08,10098.66,Hecho,both
287,5,6702,ADG32 6702 NFORNES SL,Pagada,ALUBIX SL,2025-10-29,540080,9,2025/00009,4460.06,14558.72,2025-12-19,540080,6702-C-C/00006,both,242,6702-C-C/00006,6,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00006,2025-10-29,9,2025-10-29,ALUBIX SL,C-C/00006,4460.06,17859.6,Hecho,both
288,6,6702,ADG32 6702 NFORNES SL,Pagada,ROCALLA SA,2025-10-29,540090,10,2025/00009,3300.88,17859.6,2025-12-19,540090,6702-C-C/00005,both,241,6702-C-C/00005,5,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00005,2025-10-29,10,2025-10-29,ROCALLA SA,C-C/00005,3300.88,13399.54,Hecho,both
289,7,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-11-05,542316,10,2025/00013,4256.78,22116.38,2025-12-19,542316,6702-C-C/00008,both,244,6702-C-C/00008,8,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00008,2025-11-05,10,2025-11-05,ALUBIX SL,C-C/00008,4256.78,25131.7,Hecho,both
290,8,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-11-05,542328,13,2025/00014,3015.32,25131.7,2025-12-19,542328,6702-C-C/00007,both,243,6702-C-C/00007,7,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00007,2025-11-05,13,2025-11-05,ROCALLA SA,C-C/00007,3015.32,20874.92,Hecho,both
291,9,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-11-12,545004,12,2025/00016,4455.22,29586.92,2025-12-19,545004,6702-C-C/00010,both,246,6702-C-C/00010,10,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00010,2025-11-12,12,2025-11-12,ALUBIX SL,C-C/00010,4455.22,32904.74,Hecho,both
292,10,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-11-12,545005,16,2025/00015,3317.82,32904.74,2025-12-19,545005,6702-C-C/00009,both,245,6702-C-C/00009,9,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00009,2025-11-12,16,2025-11-12,ROCALLA SA,C-C/00009,3317.82,28449.52,Hecho,both
293,11,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-11-19,547939,14,2025/00020,4789.18,37693.92,2025-12-19,547939,6702-C-C/00011,both,247,6702-C-C/00011,11,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00011,2025-11-19,14,2025-11-19,ALUBIX SL,C-C/00011,4789.18,37693.92,Hecho,both
294,12,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-11-19,547941,18,2025/00019,3373.48,41067.4,2025-12-19,547941,6702-C-C/00012,both,248,6702-C-C/00012,12,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00012,2025-11-19,18,2025-11-19,ROCALLA SA,C-C/00012,3373.48,41067.4,Hecho,both
295,13,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-11-26,551277,15,2025/00021,4675.44,45742.84,2025-12-19,551277,6702-C-C/00017,both,249,6702-C-C/00017,13,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00013,2025-11-26,15,2025-11-26,ALUBIX SL,C-C/00017,4675.44,45742.84,Hecho,both
296,14,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-11-26,551281,21,2025/00024,3150.84,48893.68,2025-12-19,551281,6702-C-C/00018,both,250,6702-C-C/00018,14,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00014,2025-11-26,21,2025-11-26,ROCALLA SA,C-C/00018,3150.84,48893.68,Hecho,both
297,15,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-12-03,554367,23,2025/00026,3358.96,52252.64,2025-12-19,554367,6702-C-C/00020,both,252,6702-C-C/00020,16,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00016,2025-12-03,23,2025-12-03,ROCALLA SA,C-C/00020,3358.96,56867.58,Hecho,both
298,16,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-12-03,554370,20,2025/00022,4614.94,56867.58,2025-12-19,554370,6702-C-C/00019,both,251,6702-C-C/00019,15,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00015,2025-12-03,20,2025-12-03,ALUBIX SL,C-C/00019,4614.94,53508.62,Hecho,both
299,17,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-12-10,556810,21,2025/00023,5094.1,61961.68,2025-12-19,556810,6702-C-C/00021,both,253,6702-C-C/00021,17,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00017,2025-12-10,21,2025-12-10,ALUBIX SL,C-C/00021,5094.1,61961.68,Hecho,both
300,18,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-12-10,556819,26,2025/00028,3228.28,65189.96,2025-12-19,556819,6702-C-C/00022,both,254,6702-C-C/00022,18,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00018,2025-12-10,26,2025-12-10,ROCALLA SA,C-C/00022,3228.28,65189.96,Hecho,both
301,19,6702,ADG32 6702 NFORNES SL,Pagada,ALUBIX,2025-12-18,561110,22,2025/00027,4692.38,69882.34,2025-12-19,561110,6702-C-C/00023,both,255,6702-C-C/00023,19,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00019,2025-12-18,22,2025-12-18,ALUBIX SL,C-C/00023,4692.38,69882.34,Hecho,both
302,20,6702,ADG32 6702 NFORNES SL,Pagada,ROCALLA,2025-12-18,561111,31,2025/00033,3267.0,73149.34,2025-12-19,561111,6702-C-C/00024,both,256,6702-C-C/00024,20,6702,ADG32 6702 NFORNES SL,MGZ01/ENTRA/00020,2025-12-18,31,2025-12-18,ROCALLA SA,C-C/00024,3267.0,73149.34,Hecho,both
303,21,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX,2025-12-29,561709,25,2025/00028,171.82,73321.16,2025-12-19,,,left_only,,,,,,,,,,,,,,,left_only
304,22,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA,2025-12-29,561710,35,2025/00036,162.14,73483.3,2025-12-19,,,left_only,,,,,,,,,,,,,,,left_only
305,1,6706,ADG32 6706 NSUIYHI SL,Pagada,ALUBIX SL,2025-10-17,535283,3,2025/00003,849.42,849.42,2025-12-19,535283,6706-C-C/00002,both,258,6706-C-C/00002,2,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00002,2025-10-17,3,2025-10-17,ALUBIX SL,C-C/00002,849.42,2432.1,Hecho,both
306,2,6706,ADG32 6706 NSUIYHI SL,Pagada,ROCALLA SA,2025-10-17,535302,2,2025/00002,1582.68,2432.1,2025-12-19,535302,6706-C-C/00001,both,257,6706-C-C/00001,1,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00001,2025-10-17,2,2025-10-17,ROCALLA SA,C-C/00001,1582.68,1582.68,Hecho,both
307,3,6706,ADG32 6706 NSUIYHI SL,Pagada,ALUBIX SL,2025-10-22,537118,8,2025/00006,3869.58,6301.68,2025-12-19,537118,6706-C-C/00004,both,260,6706-C-C/00004,4,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00004,2025-10-23,8,2025-10-22,ALUBIX SL,C-C/00004,3869.58,10766.58,Hecho,both
308,4,6706,ADG32 6706 NSUIYHI SL,Pagada,ROCALLA SA,2025-10-22,537121,7,2025/00004,4464.9,10766.58,2025-12-19,537121,6706-C-C/00003,both,259,6706-C-C/00003,3,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00003,2025-10-23,7,2025-10-22,ROCALLA SA,C-C/00003,4464.9,6897.0,Hecho,both
309,5,6706,ADG32 6706 NSUIYHI SL,Pagada,ALUBIX SL,2025-10-29,540081,10,2025/00009,3862.32,14628.9,2025-12-19,540081,6706-C-C/00005,both,261,6706-C-C/00005,5,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00005,2025-10-29,10,2025-10-29,ALUBIX SL,C-C/00005,3862.32,14628.9,Hecho,both
310,6,6706,ADG32 6706 NSUIYHI SL,Pagada,ROCALLA SA,2025-10-29,540084,9,2025/00007,4123.68,18752.58,2025-12-19,540084,6706-C-C/00006,both,262,6706-C-C/00006,6,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00006,2025-10-29,9,2025-10-29,ROCALLA SA,C-C/00006,4123.68,18752.58,Hecho,both
311,7,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-11-05,542292,14,2025/00014,4486.68,23239.26,2025-12-19,542292,6706-C-C/00007,both,263,6706-C-C/00007,7,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00007,2025-11-05,14,2025-11-05,ALUBIX SL,C-C/00007,4486.68,23239.26,Hecho,both
312,8,6706,ADG32 6706 NSUIYHI SL,Facturada,ROCALLA SA,2025-11-05,542296,14,2025/00011,3477.54,26716.8,2025-12-19,542296,6706-C-C/00008,both,264,6706-C-C/00008,8,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00008,2025-11-05,14,2025-11-05,ROCALLA SA,C-C/00008,3477.54,26716.8,Hecho,both
313,9,6706,ADG32 6706 NSUIYHI SL,Facturada,ROCALLA SA,2025-11-12,545010,18,2025/00012,4268.88,30985.68,2025-12-19,545010,6706-C-C/00010,both,266,6706-C-C/00010,10,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00010,2025-11-12,18,2025-11-12,ROCALLA SA,C-C/00010,4268.88,35080.32,Hecho,both
314,10,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-11-12,545014,17,2025/00017,4094.64,35080.32,2025-12-19,545014,6706-C-C/00009,both,265,6706-C-C/00009,9,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00009,2025-11-12,17,2025-11-12,ALUBIX SL,C-C/00009,4094.64,30811.44,Hecho,both
315,11,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-11-19,547890,21,2025/00020,4297.92,39378.24,2025-12-19,547890,6706-C-C/00012,both,268,6706-C-C/00012,12,6706,ADG32 6706 NSUIYHI SL,MGZ01/ENTRA/00013,2025-11-19,21,2025-11-19,ALUBIX SL,C-C/00012,4297.92,43037.28,Hecho,both
